bet_id,placed_at_utc,market_ticker,event_ticker,target_date,side,stake_usd,entry_price,prob_model,prob_market_implied,edge,method,spec,resolved_at_utc,resolution,pnl_usd,algo_signal
20260510T171217Z000000,2026-05-10T17:12:17Z,KXLOWTNYC-26MAY11-B50.5,KXLOWTNYC-26MAY11,2026-05-11,NO,100.0,0.36,0.146,0.36,-0.214,ensemble,NYC daily low temp 50.0-51.0F (bin B50.5),2026-05-12T12:46:16Z,no,56.16,bet
20260512T142701Z000000,2026-05-12T14:27:01Z,KXLOWTNYC-26MAY13-B51.5,KXLOWTNYC-26MAY13,2026-05-13,NO,100.0,0.345,0.14000464447021674,0.345,-0.20499535552978324,ensemble,51.0 <= temp_min <= 52.0 @ NYC on 2026-05-13,2026-05-14T12:32:29Z,no,52.44,bet
20260513T142925Z000000,2026-05-13T14:29:25Z,KXLOWTNYC-26MAY14-B52.5,KXLOWTNYC-26MAY14,2026-05-14,NO,100.0,0.32,0.1406617805329034,0.32,-0.1793382194670966,ensemble,52.0 <= temp_min <= 53.0 @ NYC on 2026-05-14,2026-05-15T19:38:23Z,yes,-99.96,bet
20260514T194540Z000000,2026-05-14T19:45:40Z,KXLOWTNYC-26MAY15-B49.5,KXLOWTNYC-26MAY15,2026-05-15,NO,100.0,0.345,0.14912467855229594,0.345,-0.19587532144770403,ensemble,49.0 <= temp_min <= 50.0 @ NYC on 2026-05-15,2026-05-16T19:04:16Z,yes,-99.56,bet
20260515T193826Z000000,2026-05-15T19:38:26Z,KXLOWTNYC-26MAY16-B53.5,KXLOWTNYC-26MAY16,2026-05-16,NO,100.0,0.395,0.16838613251205714,0.395,-0.22661386748794288,ensemble,53.0 <= temp_min <= 54.0 @ NYC on 2026-05-16,2026-05-17T19:09:33Z,no,65.17,bet
20260516T190419Z000000,2026-05-16T19:04:19Z,KXLOWTNYC-26MAY17-B64.5,KXLOWTNYC-26MAY17,2026-05-17,NO,100.0,0.355,0.08372261534954382,0.355,-0.27127738465045614,ensemble,64.0 <= temp_min <= 65.0 @ NYC on 2026-05-17,2026-05-18T19:44:38Z,no,55.02,bet
20260518T194440Z000000,2026-05-18T19:44:41Z,KXLOWTNYC-26MAY19-B71.5,KXLOWTNYC-26MAY19,2026-05-19,NO,51.46,0.4,0.062175656463315604,0.4,-0.33782434353668445,ensemble,71.0 <= temp_min <= 72.0 @ NYC on 2026-05-19,2026-05-21T09:57:08Z,no,34.0,bet
20260518T194441Z000000,2026-05-18T19:44:41Z,KXLOWTNYC-26MAY19-B69.5,KXLOWTNYC-26MAY19,2026-05-19,NO,10.3,0.14500000000000002,0.07639886194158091,0.14500000000000002,-0.06860113805841911,ensemble,69.0 <= temp_min <= 70.0 @ NYC on 2026-05-19,2026-05-21T09:57:08Z,no,1.74,bet
20260518T194442Z000000,2026-05-18T19:44:49Z,KXLOWTLAX-26MAY19-B57.5,KXLOWTLAX-26MAY19,2026-05-19,NO,41.17,0.45499999999999996,0.25588235427074457,0.45499999999999996,-0.1991176457292554,ensemble,57.0 <= temp_min <= 58.0 @ LOSANGELES on 2026-05-19,2026-05-21T09:57:08Z,yes,-40.88,bet
20260521T195336Z307392,2026-05-21T19:53:36Z,KXLOWTNYC-26MAY22-B53.5,KXLOWTNYC-26MAY22,2026-05-22,NO,20.48,0.295,0.1667346738674547,0.295,-0.1282653261325453,ensemble,53.0 <= temp_min <= 54.0 @ NYC on 2026-05-22,2026-05-23T19:10:08Z,no,8.55,bet
20260521T195336Z943919,2026-05-21T19:53:37Z,KXLOWTNYC-26MAY22-B51.5,KXLOWTNYC-26MAY22,2026-05-22,NO,20.48,0.215,0.0992686054023704,0.215,-0.1157313945976296,ensemble,51.0 <= temp_min <= 52.0 @ NYC on 2026-05-22,2026-05-23T19:10:08Z,no,5.59,bet
20260521T195337Z992141,2026-05-21T19:53:45Z,KXLOWTLAX-26MAY22-B61.5,KXLOWTLAX-26MAY22,2026-05-22,YES,4.93,0.10500000000000001,0.26897783810932624,0.10500000000000001,0.16397783810932623,ensemble,61.0 <= temp_min <= 62.0 @ LOSANGELES on 2026-05-22,2026-05-23T19:10:08Z,no,-4.83,bet
20260521T195345Z466470,2026-05-21T19:53:52Z,KXLOWTLAX-26MAY22-B57.5,KXLOWTLAX-26MAY22,2026-05-22,NO,20.48,0.33,0.19405912919663593,0.33,-0.1359408708033641,ensemble,57.0 <= temp_min <= 58.0 @ LOSANGELES on 2026-05-22,2026-05-23T19:10:08Z,no,9.9,bet
